form	stem	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	vowels	ending	suffix_vowel	suffix_initial	linking_vowel	suffixes	examples	suffix
bojlertól	bojler	2	8570080167	25309	-2.6319548887939765	1.4702901013537286	9	3	6	2	TRUE	oe	tól	back	C	NA	-tól / -től	havertól, hoteltől	Abl
bojlertől	bojler	51	8570080167	25309	-1.2254147083600215	1.4702901013537286	9	3	6	2	TRUE	oe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
bojlernál	bojler	4	8570080167	25309	-2.3309248931299953	1.4702901013537286	9	3	6	2	TRUE	oe	nál	back	C	NA	-nál / -nél	havernál, modellnél	Ade
bojlerhoz	bojler	7	8570080167	25309	-2.087886844443701	1.4702901013537286	9	3	6	2	TRUE	oe	hoz	back	C	NA	-hoz / -hez	matekhoz, projekthez	All
bojlernak	bojler	28	8570080167	25309	-1.4858268531157386	1.4702901013537286	9	3	6	2	TRUE	oe	nak	back	C	NA	-nak / -nek	havernak, projektnek	Dat
bojlerról	bojler	46	8570080167	25309	-1.2702270527763837	1.4702901013537286	9	3	6	2	TRUE	oe	ról	back	C	NA	-ról / -ről	matekról, projektről	Del
bojlerból	bojler	26	8570080167	25309	-1.5180115364871398	1.4702901013537286	9	3	6	2	TRUE	oe	ból	back	C	NA	-ból / -ből	matekból, modellből	Ela
bojlerba	bojler	30	8570080167	25309	-1.4558636297382954	1.4702901013537286	8	3	6	2	TRUE	oe	ba	back	C	NA	-ba / -be	fotelba, projektbe	Ill
bojlerban	bojler	38	8570080167	25309	-1.3532012878411477	1.4702901013537286	9	3	6	2	TRUE	oe	ban	back	C	NA	-ban / -ben	panelban, projektben	Ine
bojlerral	bojler	60	8570080167	25309	-1.1548336340743142	1.4702901013537286	9	3	6	2	TRUE	oe	val	back	C	NA	-val / -vel	haverral, szoftverrel	Ins
bojlerjeink	bojler	1	8570080167	25309	-2.932984884457958	1.4702901013537286	11	4	6	2	TRUE	oe	jeink	front	C	NA	-jaink / -jeink	haverjaink, projektjeink	Pl.Poss.1Pl
bojlereink	bojler	8	8570080167	25309	-2.0298948974660145	1.4702901013537286	10	4	6	2	TRUE	oe	eink	front	V	e	-aink / -eink	bunkeraink, partnereink	Pl.Poss.1Pl
bojlereim	bojler	5	8570080167	25309	-2.234014880121939	1.4702901013537286	9	4	6	2	TRUE	oe	eim	front	V	e	-aim / -eim	haveraim, partnereim	Pl.Poss.1Sg
bojlereik	bojler	4	8570080167	25309	-2.3309248931299953	1.4702901013537286	9	4	6	2	TRUE	oe	eik	front	V	e	-aik / -eik	sameszaik, partnereik	Pl.Poss.3Pl
bojlerjei	bojler	1	8570080167	25309	-2.932984884457958	1.4702901013537286	9	4	6	2	TRUE	oe	jei	front	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
bojlerei	bojler	18	8570080167	25309	-1.6777123793546518	1.4702901013537286	8	4	6	2	TRUE	oe	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
bojlerok	bojler	22	8570080167	25309	-1.5905622036357516	1.4702901013537286	8	3	6	2	TRUE	oe	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
bojlerunk	bojler	20	8570080167	25309	-1.6319548887939763	1.4702901013537286	9	3	6	2	TRUE	oe	unk	back	V	u	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
bojlerünk	bojler	211	8570080167	25309	-0.6087024291602652	1.4702901013537286	9	3	6	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
bojlerom	bojler	4	8570080167	25309	-2.3309248931299953	1.4702901013537286	8	3	6	2	TRUE	oe	om	back	V	o	-om / -em	haverom, partnerem	Poss.1Sg
