stem	llfpm10	suffix	suffix_initial	back	front	form_varies	log_odds_back
bojler	1.4702901013537286	Abl	C	2	51	TRUE	-3.2386784521643803
bojler	1.4702901013537286	Ade	C	4	0	FALSE	NA
bojler	1.4702901013537286	All	C	7	0	FALSE	NA
bojler	1.4702901013537286	Dat	C	28	0	FALSE	NA
bojler	1.4702901013537286	Del	C	46	0	FALSE	NA
bojler	1.4702901013537286	Ela	C	26	0	FALSE	NA
bojler	1.4702901013537286	Ill	C	30	0	FALSE	NA
bojler	1.4702901013537286	Ine	C	38	0	FALSE	NA
bojler	1.4702901013537286	Ins	C	60	0	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.1Pl	C	0	1	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.1Pl	V	0	8	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.1Sg	V	0	5	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.3Pl	V	0	4	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.3Sg	C	0	1	FALSE	NA
bojler	1.4702901013537286	Pl.Poss.3Sg	V	0	18	FALSE	NA
bojler	1.4702901013537286	Pl	V	22	0	FALSE	NA
bojler	1.4702901013537286	Poss.1Pl	V	20	211	TRUE	-2.356125859922076
bojler	1.4702901013537286	Poss.1Sg	V	4	97	TRUE	-3.188416617383492
bojler	1.4702901013537286	Poss.2Pl	V	0	5	FALSE	NA
bojler	1.4702901013537286	Poss.2Sg	V	0	85	FALSE	NA
bojler	1.4702901013537286	Poss.3Pl	C	0	6	FALSE	NA
bojler	1.4702901013537286	Poss.3Pl	V	0	22	FALSE	NA
bojler	1.4702901013537286	Poss.3Sg	C	2	10	TRUE	-1.6094379124341003
bojler	1.4702901013537286	Poss.3Sg	V	2	389	TRUE	-5.270432163058501
bojler	1.4702901013537286	Subl	C	12	0	FALSE	NA
bojler	1.4702901013537286	Supe	V	9	0	FALSE	NA
bojler	1.4702901013537286	Transl	C	0	2	FALSE	NA
projekt	3.416526341311925	Pl	V	2	233695	TRUE	-11.668624944787338
modell	3.2458076642479075	Pl	V	2	210429	TRUE	-11.563756402487313
