stem	llfpm10	suffix	suffix_initial	back	front	varies	stem_intercept	stem_intercept_c	stem_intercept_v	stem_intercept_simple	stem_intercept_c_simple	stem_intercept_v_simple	suffix_intercept	suffix_intercept_c	suffix_intercept_v	intercept_c_minus_v	intercept_c_minus_v_simple
bojler	1.4702901013537286	Abl	C	2	51	TRUE	-0.9236572571973317	0.21723987388949814	-0.6400632859551769	-0.5893764329866995	-0.3516758454901659	0.19594631992500483	-0.871239227086619	-0.9615131006768824	NA	0.8573031598446761	-0.547622165415163
bojler	1.4702901013537286	Poss.1Pl	V	20	211	TRUE	-0.9236572571973317	0.21723987388949814	-0.6400632859551769	-0.5893764329866995	-0.3516758454901659	0.19594631992500483	0.15310165641401538	NA	1.2295600722356197	0.8573031598446761	-0.547622165415163
bojler	1.4702901013537286	Poss.1Sg	V	4	97	TRUE	-0.9236572571973317	0.21723987388949814	-0.6400632859551769	-0.5893764329866995	-0.3516758454901659	0.19594631992500483	0.7438144784588202	NA	1.5973279087968308	0.8573031598446761	-0.547622165415163
bojler	1.4702901013537286	Poss.3Sg	C	2	10	TRUE	-0.9236572571973317	0.21723987388949814	-0.6400632859551769	-0.5893764329866995	-0.3516758454901659	0.19594631992500483	0.34265423359786434	0.449770007868573	-0.11457998858783418	0.8573031598446761	-0.547622165415163
bojler	1.4702901013537286	Poss.3Sg	V	2	389	TRUE	-0.9236572571973317	0.21723987388949814	-0.6400632859551769	-0.5893764329866995	-0.3516758454901659	0.19594631992500483	0.34265423359786434	0.449770007868573	-0.11457998858783418	0.8573031598446761	-0.547622165415163
projekt	3.416526341311925	Pl	V	2	233695	TRUE	-5.432856007209687	-5.494075100668288	-5.278339174278509	-5.461796532717187	-5.208883494236493	-5.346205113610408	-1.3950395672621765	NA	-0.6092984900084293	-0.2157359263897689	0.13732161937392107
modell	3.2458076642479075	Pl	V	2	210429	TRUE	-4.943735431628447	-5.0815781914209595	-4.823004150794277	-5.067962069713086	-4.94297836846933	-5.182356398677793	-1.3950395672621765	NA	-0.6092984900084293	-0.25857404062668365	0.2393780302084707
partner	3.170887565855278	Pl	V	13	156807	TRUE	-4.237640573949965	-2.6397879938328885	-5.5093527786781475	-4.2387020640889626	-2.88340224090286	-4.934728979308532	-1.3950395672621765	NA	-0.6092984900084293	2.8695647848452666	2.0513267384056775
koncert	3.0752510936798796	Acc	V	1	137740	TRUE	-6.009157815699876	-5.877877815512749	-6.35133466720042	-5.9821708966967515	-5.6251713725767	-6.006673368135875	-0.29383043118284424	NA	0.1555929746945892	0.47345685168767204	0.3815019955591765
partner	3.170887565855278	Poss.3Sg	V	1	122551	TRUE	-4.237640573949965	-2.6397879938328885	-5.5093527786781475	-4.2387020640889626	-2.88340224090286	-4.934728979308532	0.34265423359786434	0.449770007868573	-0.11457998858783418	2.8695647848452666	2.0513267384056775
projekt	3.416526341311925	Acc	V	12	113771	TRUE	-5.432856007209687	-5.494075100668288	-5.278339174278509	-5.461796532717187	-5.208883494236493	-5.346205113610408	-0.29383043118284424	NA	0.1555929746945892	-0.2157359263897689	0.13732161937392107
szoftver	2.8823776554889804	Pl	V	1	93222	TRUE	-4.848207366947437	-5.037527390650401	-4.525476948772607	-5.244181013490532	-5.1157255540248725	-4.758345928427333	-1.3950395672621765	NA	-0.6092984900084293	-0.5120504418777898	-0.3573796255975452
koncert	3.0752510936798796	Supe	V	4	86590	TRUE	-6.009157815699876	-5.877877815512749	-6.35133466720042	-5.9821708966967515	-5.6251713725767	-6.006673368135875	-0.668605230393597	NA	0.3784998623009394	0.47345685168767204	0.3815019955591765
projekt	3.416526341311925	Ine	C	14	80887	TRUE	-5.432856007209687	-5.494075100668288	-5.278339174278509	-5.461796532717187	-5.208883494236493	-5.346205113610408	0.6678142040557484	0.48128711825515536	NA	-0.2157359263897689	0.13732161937392107
modell	3.2458076642479075	Poss.3Sg	C	33	76747	TRUE	-4.943735431628447	-5.0815781914209595	-4.823004150794277	-5.067962069713086	-4.94297836846933	-5.182356398677793	0.34265423359786434	0.449770007868573	-0.11457998858783418	-0.25857404062668365	0.2393780302084707
partner	3.170887565855278	Poss.1Pl	V	27	67818	TRUE	-4.237640573949965	-2.6397879938328885	-5.5093527786781475	-4.2387020640889626	-2.88340224090286	-4.934728979308532	0.15310165641401538	NA	1.2295600722356197	2.8695647848452666	2.0513267384056775
hotel	2.9641042281879626	Ine	C	4069	57356	TRUE	-0.6133259011748744	-0.6057658584826261	-1.0234829659850166	-0.2668362718090401	-0.3093944322146263	-0.9627754179609971	0.6678142040557484	0.48128711825515536	NA	0.41771710750238356	0.6533809857463666
koncert	3.0752510936798796	Poss.3Sg	C	11	56643	TRUE	-6.009157815699876	-5.877877815512749	-6.35133466720042	-5.9821708966967515	-5.6251713725767	-6.006673368135875	0.34265423359786434	0.449770007868573	-0.11457998858783418	0.47345685168767204	0.3815019955591765
koncert	3.0752510936798796	Subl	C	18	50442	TRUE	-6.009157815699876	-5.877877815512749	-6.35133466720042	-5.9821708966967515	-5.6251713725767	-6.006673368135875	0.4733699064456612	0.20293628635125044	NA	0.47345685168767204	0.3815019955591765
projekt	3.416526341311925	Poss.3Sg	C	3	44663	TRUE	-5.432856007209687	-5.494075100668288	-5.278339174278509	-5.461796532717187	-5.208883494236493	-5.346205113610408	0.34265423359786434	0.449770007868573	-0.11457998858783418	-0.2157359263897689	0.13732161937392107
modell	3.2458076642479075	Subl	C	14	38062	TRUE	-4.943735431628447	-5.0815781914209595	-4.823004150794277	-5.067962069713086	-4.94297836846933	-5.182356398677793	0.4733699064456612	0.20293628635125044	NA	-0.25857404062668365	0.2393780302084707
kábel	2.5255200123429824	Pl	V	48	36121	TRUE	-1.9182344874011954	-1.665743510161935	-2.64570839835132	-2.279435937498378	-1.795492792098046	-2.7048180941551365	-1.3950395672621765	NA	-0.6092984900084293	0.9799648881893859	0.9093253020570984
