xpostag	example	suffix_vowel	freq	log_freq
[/N][Abl]	[Abl] (óra / órától)	back	1726	7.453561871643373
[/N][Abl]	[Abl] (óra / órától)	front	35493	10.477090772921773
[/N][Acc]	[Acc] (rész / részt)	back	7943	8.980046316633132
[/N][Acc]	[Acc] (rész / részt)	front	312025	12.650838591786654
[/N][Ade]	[Ade] (cég / cégnél)	back	1812	7.502186486602924
[/N][Ade]	[Ade] (cég / cégnél)	front	27834	10.234013573979798
[/N][All]	[All] (ház / házhoz)	back	2665	7.887959336599945
[/N][All]	[All] (ház / házhoz)	front	84666	11.346469383285816
[/N][Dat]	[Dat] (ember / embernek)	back	7358	8.90354343566472
[/N][Dat]	[Dat] (ember / embernek)	front	119391	11.690159100215237
[/N][Del]	[Del] (oldal / oldalról)	back	1272	7.148345743900068
[/N][Del]	[Del] (oldal / oldalról)	front	57722	10.963393662322158
[/N][Ela]	[Ela] (szempont / szempontból)	back	11003	9.305923241869912
[/N][Ela]	[Ela] (szempont / szempontból)	front	46271	10.742270693943276
[/N][Ill]	[Ill] (figyelem / figyelembe)	back	10216	9.231710397712375
[/N][Ill]	[Ill] (figyelem / figyelembe)	front	64413	11.073070755074816
[/N][Ine]	[Ine] (eset / esetben)	back	21887	9.993648132244084
[/N][Ine]	[Ine] (eset / esetben)	front	251363	12.434653388491428
[/N][Ins]	[Ins] (alkalom / alkalommal)	back	11809	9.376617231601282
[/N][Ins]	[Ins] (alkalom / alkalommal)	front	237521	12.378011319600553
[/N][Pl.Poss.1Pl][Nom]	[Pl.Poss.1Pl][Nom] (olvasó / olvasóink)	back	280	5.634789603169249
[/N][Pl.Poss.1Pl][Nom]	[Pl.Poss.1Pl][Nom] (olvasó / olvasóink)	front	126088	11.744735354855377
[/N][Pl.Poss.1Sg][Nom]	[Pl.Poss.1Sg][Nom] (szülő / szüleim)	back	2042	7.621684998724611
[/N][Pl.Poss.1Sg][Nom]	[Pl.Poss.1Sg][Nom] (szülő / szüleim)	front	4287	8.363342466597977
[/N][Pl.Poss.3Pl][Nom]	[Pl.Poss.3Pl][Nom] (szülő / szüleik)	back	705	6.558197802812269
[/N][Pl.Poss.3Pl][Nom]	[Pl.Poss.3Pl][Nom] (szülő / szüleik)	front	19339	9.8698790613623
[/N][Pl.Poss.3Sg][Nom]	[Pl.Poss.3Sg][Nom] (megy / megyei)	back	5285	8.572627898304338
[/N][Pl.Poss.3Sg][Nom]	[Pl.Poss.3Sg][Nom] (megy / megyei)	front	133167	11.799359258646135
[/N][Pl][Nom]	[Pl][Nom] (adat / adatok)	back	28861	10.270246481762213
[/N][Pl][Nom]	[Pl][Nom] (adat / adatok)	front	1097821	13.908837864082392
[/N][Poss.1Pl][Nom]	[Poss.1Pl][Nom] (cél / célunk)	back	1639	7.40184157874383
[/N][Poss.1Pl][Nom]	[Poss.1Pl][Nom] (cél / célunk)	front	106716	11.577926379187641
[/N][Poss.1Sg][Nom]	[Poss.1Sg][Nom] (vélemény / véleményem)	back	22021	9.999751822506193
[/N][Poss.1Sg][Nom]	[Poss.1Sg][Nom] (vélemény / véleményem)	front	24589	10.110054467445536
[/N][Poss.2Pl][Nom]	[Poss.2Pl][Nom] (szükség / szükségetek)	back	151	5.017279836814924
[/N][Poss.2Pl][Nom]	[Poss.2Pl][Nom] (szükség / szükségetek)	front	1274	7.149916836132109
[/N][Poss.2Sg][Nom]	[Poss.2Sg][Nom] (szükség / szükséged)	back	4495	8.410720946905721
[/N][Poss.2Sg][Nom]	[Poss.2Sg][Nom] (szükség / szükséged)	front	23754	10.075506216334185
[/N][Poss.3Pl][Nom]	[Poss.3Pl][Nom] (szükség / szükségük)	back	718	6.576469569048224
[/N][Poss.3Pl][Nom]	[Poss.3Pl][Nom] (szükség / szükségük)	front	30276	10.318110598429058
[/N][Poss.3Sg][Nom]	[Poss.3Sg][Nom] (év / éve)	back	15092	9.621920081084202
[/N][Poss.3Sg][Nom]	[Poss.3Sg][Nom] (év / éve)	front	410048	12.924029504998693
[/N][Subl]	[Subl] (rendelkezés / rendelkezésre)	back	4639	8.442254104751743
[/N][Subl]	[Subl] (rendelkezés / rendelkezésre)	front	168132	12.032504664159232
[/N][Supe]	[Supe] (mód / módon)	back	3525	8.16763571524637
[/N][Supe]	[Supe] (mód / módon)	front	185138	12.12885677192701
[/N][Transl]	[Transl] (ember / emberré)	back	246	5.5053315359323625
[/N][Transl]	[Transl] (ember / emberré)	front	11881	9.382695764458287
[/N][_Distr:nként/Adv]	[_Distr:nként/Adv] (eset / esetenként)	back	18	2.8903717578961645
[/N][_Distr:nként/Adv]	[_Distr:nként/Adv] (eset / esetenként)	front	4841	8.484876589939695
